IDFactura;NumeroFactura;IDCliente;IDVendedor;FechaFactura;SubTotal;Impuesto;Descuento;TotalFactura
97;97;205;3;18/12/2014;0;0;0;0
98;1002443;115;3;18/12/2014;2973.91;446.09;0;3420
99;1002453;201;5;22/12/2014;1082.61;162.39;0;1245
100;1002454;176;3;23/12/2014;4939.13;0;0;0
101;1002455;114;3;23/12/2014;5638.26;845.74;0;6484
102;1002456;114;3;23/12/2014;7652.17;1147.83;0;8800
103;1002457;155;3;23/12/2014;12900.87;1935.13;0;14836
104;1002458;149;3;23/12/2014;7109.57;1066.43;0;8176
105;1002459;153;3;23/12/2014;700.87;105.13;0;806
106;1002460;153;3;23/12/2014;940;141;0;1081
107;1002461;170;3;23/12/2014;8010.43;1201.57;0;9212
108;1002462;170;3;23/12/2014;10643.48;1596.52;0;12240
109;1002463;167;3;23/12/2014;2466.09;369.91;0;2836
110;1002464;167;3;23/12/2014;6252.17;937.83;0;7190
111;1002465;167;3;23/12/2014;11623.48;1743.52;0;13367
112;1002466;151;3;23/12/2014;19969.57;2995.43;0;22965
113;1002467;151;3;23/12/2014;6765.22;1014.78;0;7780
114;1002468;177;3;23/12/2014;7782.61;1167.39;0;8950
115;8874;21;3;23/12/2014;11269.57;1690.43;0;12960
116;1002471;36;3;23/12/2014;1582.61;237.39;0;1820
117;1002475;31;3;24/12/2014;1560;234;0;1794
118;1002476;209;5;24/12/2014;720;108;0;828
119;1002477;209;5;24/12/2014;1226.09;183.91;0;1410
120;1002480;155;3;26/12/2014;20434.78;3065.22;0;23500
121;1002469;151;1;26/12/2014;0;0;0;0
122;1002445;202;5;19/12/2014;1685.22;252.78;0;1938
123;1002446;202;5;19/12/2014;848.7;127.3;0;976
124;1002447;202;5;19/12/2014;6179.13;926.87;0;7106
125;1002448;202;5;19/12/2014;17475.65;2621.35;0;20097
126;1002481;36;3;28/12/2014;2995.65;449.35;0;3445
127;1002482;212;5;28/12/2014;8857.39;1328.61;0;10186
128;1002483;212;5;28/12/2014;17221.74;2583.26;0;19805
129;1002484;212;5;28/12/2014;1618.26;242.74;0;1861
130;1002485;212;5;28/12/2014;4000.87;600.13;0;4601
131;1002486;212;5;28/12/2014;2414.78;362.22;0;2777
132;1002487;37;3;28/12/2014;18939.13;2840.87;0;21780
133;1002488;37;3;28/12/2014;11834.78;1775.22;0;13610
134;1002491;209;5;29/12/2014;1652.17;247.83;0;1900
136;1002492;194;5;29/12/2014;11269.57;1690.43;0;12960
137;1002493;203;5;29/12/2014;6860.87;1029.13;0;7890
138;1002494;201;5;29/12/2014;9967.83;1495.17;0;11463
139;1002495;94;3;30/12/2014;8634.78;1295.22;0;9930
140;1002496;89;3;30/12/2014;20426.09;3063.91;0;23490
141;1002497;163;3;30/12/2014;3010.43;451.57;0;3462
142;1002498;148;3;30/12/2014;4139.13;620.87;0;4760
143;8875;176;3;30/12/2014;4939.13;740.87;0;5680
144;1002499;215;3;30/12/2014;1226.09;183.91;0;1410
146;1002501;202;3;31/12/2014;650.43;97.57;0;748
147;1002502;202;5;31/12/2014;19819.13;2972.87;0;22792
148;1002503;202;5;31/12/2014;3776.52;566.48;0;4343
149;1002504;202;5;31/12/2014;22600.87;3390.13;0;25991
150;1002505;202;5;31/12/2014;18392.17;2758.83;0;21151
151;1002506;202;5;31/12/2014;1095.65;164.35;0;1260
152;1002507;194;5;31/12/2014;1302.61;195.39;0;1498
153;1002508;204;5;31/12/2014;2260.87;339.13;0;2600
154;1002509;63;5;2/1/2015;4000;600;0;4600
155;1002510;194;5;2/1/2015;446.96;67.04;0;514
156;1002511;220;5;4/1/2015;8272.17;1240.83;0;9513
157;1002512;220;5;4/1/2015;10340.87;1551.13;0;11892
158;1002513;220;5;4/1/2015;6174.78;926.22;0;7101
159;1002514;220;5;4/1/2015;1198.26;179.74;0;1378
160;1002515;220;5;4/1/2015;51422.61;0;0;0
161;1002516;220;5;4/1/2015;4225.22;633.78;0;4859
162;1002517;220;5;4/1/2015;5505.22;825.78;0;6331
163;1002518;220;5;4/1/2015;6226.09;933.91;0;7160
164;1002519;220;5;4/1/2015;11746.96;0;0;0
165;1002520;220;5;4/1/2015;9740.87;1461.13;0;11202
